,city,country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,data_quality
0,Agbizvzville,Txvvland,10.051,34.201,7.919,58.552,118.451,20.104,44.681,20.945,51.161,0.857,5.011,14.23,63.804,88.392,17.058,32.045,84.332,37.829,16.903,1.669,4.231,33.075,38.732,51.601,38.982,21.402,22.764,58.865,74.825,3.313,26.668,35.3,91.107,39.629,44.765,25.281,99.465,15.179,22.688,22.394,40.399,4.941,65.712,58.146,52.639,18.892,35.988,19.461,94.009,6.324,59.143,32.774,4.803,100.302,30.429,1
1,Bopomkeyville,Jdeihbland,7.948,40.851,7.331,31.019,61.85,137.262,50.233,59.731,87.456,1.217,9.431,16.921,38.065,48.853,28.71,107.652,83.073,60.732,68.243,2.603,49.048,57.237,95.122,30.011,1.163,1.195,25.955,11.153,96.48,2.893,70.877,94.378,89.926,90.871,95.261,20.859,8.653,54.223,68.306,46.148,107.508,91.81,126.056,49.247,61.156,42.337,27.359,51.725,120.38,36.348,10.589,28.151,64.995,66.284,54.666,1
2,Fphkrzville,Bnqvztland,4.989,34.471,8.901,38.787,69.904,45.173,2.425,41.077,85.942,1.191,11.051,6.347,79.479,35.953,49.14,6.99,60.373,86.411,57.619,1.102,6.091,34.388,32.212,26.685,36.282,95.18,92.831,29.672,104.275,1.944,95.962,60.605,25.058,18.993,4.369,65.954,126.583,104.611,39.765,53.556,127.305,24.212,72.303,22.039,65.93,72.073,32.934,55.596,52.937,30.683,49.399,31.61,92.87,74.734,12.781,1
3,Xvxypcyville,Ixiyyhland,10.725,28.938,7.962,75.422,58.051,19.877,82.995,53.157,51.101,1.598,26.973,100.126,67.694,83.894,20.307,50.654,20.286,63.682,6.995,2.061,146.429,59.741,5.746,52.603,83.853,95.875,14.764,90.454,13.37,1.458,8.227,35.585,13.905,117.567,82.601,16.491,74.686,61.745,119.824,14.508,75.878,73.267,51.006,23.424,19.485,22.476,18.288,24.589,37.554,65.863,76.229,27.647,12.554,25.466,7.041,0
4,Lgmiexiville,Krstryland,10.481,27.064,7.597,7.531,14.75,33.583,26.869,31.312,61.937,2.015,38.4,58.01,48.307,75.256,8.623,73.941,16.197,9.178,63.891,1.659,21.593,56.865,38.614,6.353,24.077,10.886,19.462,124.362,12.849,0.95,34.599,58.447,77.709,64.816,76.537,106.519,72.533,74.188,89.483,41.236,9.077,72.801,13.587,42.962,58.58,78.689,41.936,40.758,116.44,102.828,76.312,63.038,12.531,21.082,23.013,1
5,Fmmzbcjjville,Ewsszkland,8.419,43.727,5.602,9.218,16.219,50.996,112.056,11.728,69.511,1.472,45.291,25.267,26.862,20.518,50.133,127.223,48.934,49.994,132.687,1.845,44.143,92.999,18.906,19.247,110.815,58.849,3.117,80.824,7.528,2.873,84.734,6.434,43.546,4.626,68.142,114.644,27.068,29.894,9.868,133.11,59.512,81.606,57.154,18.196,5.629,51.621,40.636,60.802,112.703,23.49,0.65,63.505,86.049,27.048,14.339,0
6,Flbeoville,Uqmysxland,9.853,35.83,9.576,1.484,49.337,1.391,50.838,74.105,59.746,2.233,29.728,78.752,83.9,69.256,42.527,99.465,3.628,124.14,58.509,1.965,106.442,84.692,102.724,15.092,90.386,24.217,20.477,3.987,39.692,2.919,1.899,15.642,106.352,54.154,92.456,48.111,42.951,55.175,33.598,52.842,111.971,80.565,50.319,101.08,45.28,48.53,2.668,32.907,29.515,5.094,6.869,113.275,51.664,5.067,100.351,1
7,Lovxoehville,Rgjaland,8.964,44.197,11.243,18.409,24.71,12.951,74.635,18.122,89.349,1.639,23.237,38.005,81.083,6.51,9.285,81.358,52.11,30.364,72.635,2.281,80.186,9.584,69.438,1.327,33.767,21.132,48.581,66.707,21.868,2.065,80.029,9.647,18.615,62.063,71.913,92.442,81.435,125.426,8.461,33.514,17.964,35.306,73.578,68.674,6.779,10.605,94.296,28.619,73.497,10.344,61.758,34.812,54.758,64.076,55.846,1
8,Fuzbhwuville,Ljkphland,8.632,29.933,9.935,50.476,31.779,13.86,8.682,97.003,49.841,1.724,57.011,36.104,7.333,89.569,114.508,69.725,41.163,72.958,20.379,1.68,133.991,19.689,48.063,17.48,74.236,18.034,4.489,40.126,63.505,2.29,12.669,53.209,70.252,34.544,103.05,33.862,8.02,76.576,33.272,82.778,72.206,2.725,12.355,5.736,1.588,36.208,124.356,37.568,76.32,23.014,71.228,18.042,20.985,6.898,29.842,0
9,Etlpmville,Uahnbkland,13,39.523,6.717,69.058,46.332,43.913,94.652,142.492,74.941,1.36,74.186,37.583,17.752,2.669,19.588,54.934,28.519,84.499,74.692,0.332,88.695,71.867,69.527,47.957,53.83,66.323,76.212,25.383,49.389,0.614,9.267,6.805,71.013,10.994,58.453,74.291,41.852,1.339,57.609,29.376,25.912,4.165,53.789,113.777,2,116.877,8.833,21.043,70.362,7.801,126.325,39.871,1.338,2.698,42.666,1
