index,Test Batch Nº,Test Execution Site,Grease Mass (g)_OB,Parts Assembly Site_OB,Outer Race Track Case Depth (mm)_OB,Outer Race Track Surf. Hardness (HRC)_OB,Inner Race Track Case Depth (mm)_OB,Inner Race Track Surf. Hardness (HRC)_OB,Manufacturing Place - Outer Race_OB,Manufacturing Place - Inner Race_OB,Joint Endurance Torque Class_OB,Joint Endurance Torque Class_OB_2000,Joint Endurance Torque Class_OB_2300,Joint Endurance Torque Class_OB_2600,Joint Endurance Torque Class_OB_2900,Joint Endurance Torque Class_OB_3300,Joint Endurance Torque Class_OB_3700,Joint Endurance Torque Class_OB_4100,Joint Endurance Torque Class_OB_4600,Joint Endurance Torque Class_OB_5100,Joint Endurance Torque Class_OB_5600,Joint Endurance Torque Class_OB_6200,DamageGradingSum,Temp_RI_max,Temp_24hr_max,Temp_Stable_max,Life left after BI,MacDmg_Reported,Obsv_Pred_50,Obsv_Pred_10,copy_joint_Endurance,Grade_copy,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9
0,110419EMB06,GKN ARN,164.0,GKN ESK,,,,,GKN VIG,GKN VIG,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17,47.0,50.0,59.0,0.993189319,0.001958925,0.000255721,0.000894609,5100,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,110418EMB05,GKN ARN,164.0,GKN ESK,,,,,GKN VIG,GKN VIG,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17,50.0,52.0,78.0,0.993189319,0.001958925,0.000356447,0.001181143,5100,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,110417EMB06,GKN ARN,194.0,GKN ESK,,,,,GKN VIG,GKN VIG,4100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25,47.0,53.0,55.0,0.993359826,0.001909874,0.001372036,0.00373533,4100,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,110417EMB06,GKN ARN,194.0,GKN ESK,,,,,GKN VIG,GKN VIG,4100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25,48.0,53.0,57.0,0.993359826,0.001909874,0.001372036,0.00373533,4100,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,110417EMB06,GKN ARN,194.0,GKN ESK,,,,,GKN VIG,GKN VIG,4100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25,48.0,54.0,57.0,0.993359826,0.001909874,0.001372036,0.00373533,4100,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,110417EMB06,GKN ARN,194.0,GKN ESK,,,,,GKN VIG,GKN VIG,4100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25,48.0,54.0,57.0,0.993359826,0.001909874,0.001372036,0.00373533,4100,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,110418EMB05,GKN ARN,164.0,GKN ESK,,,,,GKN VIG,GKN VIG,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25,43.0,44.0,49.0,0.993189319,0.001958925,0.001407274,0.003831263,5100,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,110419EMB06,GKN ARN,164.0,GKN ESK,,,,,GKN VIG,GKN VIG,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25,44.0,48.0,53.0,0.993189319,0.001958925,0.001407274,0.003831263,5100,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,110419EMB06,GKN ARN,164.0,GKN ESK,,,,,GKN VIG,GKN VIG,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25,44.0,49.0,54.0,0.993189319,0.001958925,0.001407274,0.003831263,5100,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,110419EMB06,GKN ARN,164.0,GKN ESK,,,,,GKN VIG,GKN VIG,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25,47.0,50.0,59.0,0.993189319,0.001958925,0.001407274,0.003831263,5100,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
